Log File,Avg rpm
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_49_59.ulg,1542.712
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_52_10.ulg,1543.871
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_59_09.ulg,1520.9492
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_44_48.ulg,1563.4208
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_45_10.ulg,1469.8164
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_44_22.ulg,1511.0592
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_51_08.ulg,1577.694
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_59_58.ulg,1521.8531
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_40_52.ulg,1563.8086
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/07_50_27.ulg,1194.6212
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_21_04.ulg,1557.0083
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_04_42.ulg,1574.9673
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_57_04.ulg,1541.2046
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_44_40.ulg,1554.9214
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_103_2019-1-7-14-59-08.ulg,1535.3744
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/07_47_47.ulg,1544.875
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/15_52_18.ulg,1552.3309
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/15_06_19.ulg,1580.0957
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_31_38.ulg,1194.2269
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_50_11.ulg,1558.3397
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_39_38.ulg,1199.0482
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_16_09.ulg,1199.0981
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_36_56.ulg,1572.0728
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_33_43.ulg,1552.2762
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_66_2018-12-6-14-14-22.ulg,1422.0126
